Power Station,January,February,March,April,May,June,July,August,September,October,November,December
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.569840909090908,0.0,0.0
ABAN POWR,1.1105806451612905,1.025531914893617,0.951214953271028,1.0376666666666667,1.0610483870967742,1.0465333333333333,1.0868831168831168,1.0544516129032258,1.0,1.1169090909090909,1.1506703910614524,1.2292090395480226
ACB,4.518387096774194,5.205602836879432,5.035747663551402,4.682583333333333,5.203064516129031,5.402266666666667,5.327467532467532,4.976838709677419,5.218222222222222,5.094121212121212,5.103854748603352,5.003446327683616
ACPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADHPL,0.01967741935483871,0.02723404255319149,0.059299065420560744,0.5194166666666666,1.927983870967742,3.295533333333333,4.307207792207792,3.680774193548387,1.9964444444444445,0.8124848484848485,0.12234636871508381,-0.0172316384180791
ADHUNIK,8.616193548387097,8.85531914893617,8.987102803738317,7.428166666666667,8.415483870967742,9.3826,8.015844155844157,8.587096774193549,9.028444444444444,8.408606060606061,8.812737430167598,9.04406779661017
AEML,7.429569892473118,10.629764705882353,10.679671052631578,10.985999999999999,10.631774193548386,11.07188888888889,11.051847826086956,10.516881720430108,10.858444444444444,10.866136363636365,10.585,8.538434782608695
AHPC (GVK),0.9747096774193549,0.7868085106382978,0.7157943925233645,1.142,1.895967741935484,5.2808,7.012987012987013,6.966064516129032,6.480611111111111,2.7733333333333334,1.4196089385474862,0.9457627118644069
AMNEPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APCPL,15.78006451612903,16.72858156028369,18.200654205607478,15.116666666666667,15.653306451612902,16.879266666666666,15.053051948051948,16.21541935483871,15.805333333333333,15.088484848484848,14.041731843575418,15.680960451977402
APGPCL,1.4833548387096773,1.403900709219858,1.3182242990654207,1.4166666666666667,1.496048387096774,1.5437333333333334,1.518116883116883,1.5078709677419355,1.2734444444444444,1.0342424242424242,1.5589385474860336,1.4996045197740113
APL,80.98570967741935,84.0281914893617,83.54490654205608,81.39045833333333,82.63040322580645,78.8595,76.42902597402598,72.83090322580645,78.27961111111111,78.74624242424242,76.67857541899441,76.32717514124293
Andaman & Nicobar Islands,0.13,0.1274468085106383,0.10663551401869159,0.105,0.1225,0.08399999999999999,0.10603896103896106,0.10400000000000001,0.09644444444444444,0.11745945945945946,0.09743016759776538,0.12129943502824858
Andhra Pradesh,92.85016528925621,97.47702127659575,96.38758620689656,101.013,96.64172043010753,96.3275,92.69219512195122,98.60467741935483,94.7832,93.72701298701298,85.44053691275167,88.76712328767124
Andhra Pradesh.,94.81588235294119,0.0,93.07181818181817,95.35300000000001,91.9574193548387,83.41633333333333,63.943548387096776,74.36516129032259,89.466,87.8167741935484,79.994,94.64935483870968
Assam,2.6856129032258065,2.7036170212765955,2.455981308411215,2.9495,3.185725806451613,4.084266666666666,4.599545454545455,4.709935483870968,4.774222222222222,3.9041621621621623,3.162849162011173,2.942485875706215
BALCO,7.849741935483872,8.01127659574468,7.839672897196262,8.501666666666667,8.277177419354839,7.457800000000001,7.397077922077923,8.035225806451614,7.612611111111111,7.696363636363637,7.783743016759776,7.433898305084745
BBMB,17.807741935483868,18.423058823529413,18.84723684210526,19.0365,27.284193548387094,35.11077777777778,36.94304347826087,38.78504065040651,35.757333333333335,23.194326923076922,20.388666666666666,19.69669565217391
BELLARY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEPL,3.614774193548387,2.3110638297872343,1.2122429906542056,4.82775,4.649193548387097,4.243666666666666,4.090194805194805,2.7514838709677423,2.231777777777778,2.3282424242424242,2.446312849162011,3.557118644067797
BIPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLAPPL,0.15516129032258064,0.1224822695035461,-0.16233644859813082,0.3614166666666667,0.3838709677419355,0.29686666666666667,0.30363636363636365,-0.1345806451612903,0.3571666666666667,0.1755151515151515,0.41508379888268154,0.282542372881356
BRBCL,11.068451612903225,10.91595744680851,10.430794392523365,11.826083333333333,11.898387096774194,11.109,10.238441558441558,8.874645161290323,8.797722222222221,11.044727272727274,11.26927374301676,11.827005649717515
BSES  AP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSES(C),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSES(P),0.0,0.0,0.0,0.0,0.0,-0.12516666666666668,0.0,0.0,0.0,0.0,0.0,0.0
Bihar,1.16,1.18,1.1106451612903225,-0.3863333333333333,-0.177741935483871,0.0,0.0,0.0,0.56,1.9777049180327868,1.9779661016949153,1.965
CEPL,10.447741935483872,12.831702127659574,11.865934579439251,11.913666666666666,10.147338709677419,10.999400000000001,8.461818181818183,9.260645161290324,11.756611111111111,11.585878787878789,11.543854748603351,10.432598870056497
CESC,16.221225806451613,17.19567375886525,16.681028037383175,16.629083333333334,16.72766129032258,17.167533333333335,16.81590909090909,16.447483870967744,16.61277777777778,16.398060606060604,13.510837988826816,12.869322033898305
CGPL,64.94296774193548,76.37042553191489,78.57780373831777,65.52416666666666,59.347096774193545,59.19,62.21058441558442,64.46787096774194,70.99633333333334,67.8190303030303,58.68184357541899,59.13022598870056
CLPINDIA,0.2713548387096774,0.2641843971631206,0.2016355140186916,0.12925,0.10540322580645162,0.13666666666666666,0.09285714285714286,0.12741935483870967,0.16116666666666665,0.14587878787878789,0.2011173184357542,0.21333333333333332
CPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chhatisgarh,53.444322580645164,54.097801418439715,57.76733644859814,57.313250000000004,56.711612903225806,56.95653333333333,57.350259740259744,57.22309677419355,53.463944444444444,55.46048648648649,54.60217877094973,54.66994350282486
DAE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DBPCL,18.79206451612903,19.169290780141843,18.68214953271028,20.9635,20.573225806451614,20.270733333333336,15.844545454545454,16.91458064516129,19.328388888888888,17.816545454545455,18.766927374301677,18.097514124293788
DEPL,0.021096774193548388,-0.003971631205673759,-0.022056074766355144,-0.0020833333333333333,0.3579838709677419,1.3791333333333333,2.047142857142857,2.049870967741936,2.2154634146341463,1.6995151515151516,0.3035195530726257,0.02903954802259887
DIL,4.3132758620689655,6.4158928571428575,5.841666666666667,5.798500000000001,5.8906451612903235,5.780333333333333,5.824754098360656,5.852096774193548,5.799666666666667,5.757380952380952,3.9856666666666665,4.881132075471698
DIPL,4.860927835051546,4.939647058823529,5.206883116883117,5.579,5.535806451612903,6.026000000000001,5.777096774193549,5.667741935483871,5.114999999999999,5.101788617886179,4.803193277310925,4.421451612903225
DLHP,0.07329032258064518,0.03531914893617021,-0.14948598130841123,-0.03075,0.024112903225806455,-0.11546666666666666,0.009610389610389613,-0.1530967741935484,-0.0995,-0.03109090909090909,0.0,0.0280225988700565
DPSCLTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVC,101.4278064516129,103.01283687943263,101.58757009345794,109.80983333333333,106.50774193548386,106.21233333333333,101.15441558441559,102.89187096774194,100.48033333333333,103.04521212121212,99.68195530726257,100.75265536723164
Delhi,14.803225806451612,14.19709219858156,13.087663551401867,14.917499999999999,15.568225806451613,15.970266666666667,16.09103896103896,16.08109677419355,15.257722222222222,15.343675675675675,14.721284916201117,15.168926553672318
E.P.P.L.,-0.10206451612903227,-0.030425531914893618,-0.06420560747663552,0.06225000000000001,0.5781451612903226,1.2716666666666667,1.8299999999999998,1.774774193548387,1.2462222222222221,0.20624242424242425,-0.09324022346368716,-0.11779661016949153
EPGL,7.940709677419354,7.174326241134751,5.032523364485981,9.168333333333333,8.907580645161291,9.4528,6.831428571428571,6.829225806451613,7.998777777777778,8.443575757575758,8.981899441340783,8.350734463276837
ESSAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0031515151515151517,0.0,0.0
ESSARPMPL,8.763548387096774,8.852836879432624,10.249158878504673,12.118,11.88758064516129,12.791733333333333,10.944935064935065,10.939741935483871,10.210944444444445,11.087090909090909,11.065083798882682,10.965423728813558
